BT003651,
BT003652,
BT003665,
BT004291,
BT004848,
001436,
001437,
001439,
003951,"Technical characteristics Product characteristics Surge arresters with Integrated Short Circuit Protection Icc 4.5 kAT2 + T3 - Imax 12 kAUp 1.2 kV, Uc 275V ~ Type 2 characteristic: In 10 kA, Imax 12 kACharacteristic Type 3: Uoc 20 kV Regimes: TT, TNS Number of poles: 1P + N Number of modules: 2 General characteristics Surge arresters Type 2 + Type 3 (T2 + T3) 1P + N and 3P + N surge arresters are with spark-gap technology on the neutral-earth branch, which results in the absence of current leakage to earth: no nuisance tripping of differential protections integrated against overload and short-circuit currents thanks to a special integrated fuse Ref. 0 039 51/71 are easily integrated into the switchboard, thanks to their compatibility with the vertical comb and also with the high / high power supply Surge arresters with removable cassettes: Green: arrester in function Red: Cassettes to be replaced Complies with EN / IEC 61643-11 standards"
003953,"Technical characteristics Product characteristics Surge arresters with Integrated Short Circuit Protection Icc 4.5 kAT2 + T3 - Imax 12 kAUp 1.2 kV, Uc 275V ~ Type 2 characteristic: In 10 kA, Imax 12 kACharacteristic Type 3: Uoc 20 kV Regimes: TT, TNS Number of poles: 3P + N Number of modules: 6 General characteristics Surge arresters Type 2 + Type 3 (T2 + T3) 1P + N and 3P + N surge arresters are with spark-gap technology on the neutral-earth branch, which results in the absence of current leakage to earth: no nuisance tripping of differential protections integrated against overload and short-circuit currents thanks to a special integrated fuse Ref. 0 039 51/71 are easily integrated into the switchboard, thanks to their compatibility with the vertical comb and also with the high / high power supply Surge arresters with removable cassettes: Green: arrester in function Red: Cassettes to be replaced Complies with EN / IEC 61643-11 standards"
003971,"Technical characteristics Product characteristics Surge arresters with Integrated Short Circuit Protection Icc 10 kAT2 + T3 - Imax 12 kAUp 1.2 kV, Uc 275V ~ Type 2 characteristic: In 10 kA, Imax 12 kACaract Type 3: Uoc 20 kV Regimes: TT, TNS Number of poles: 1P + N Number of modules: 2 General characteristics Surge arresters Type 2 + Type 3 (T2 + T3) Surge arresters 1P + N and 3P + N are with spark gap technology on the neutral-earth branch, which results in the absence of current leakage to earth: no untimely tripping of differential protections Surge arresters with internal protection thanks to overload and short-circuit currents thanks to a special integrated fuse Ref. 0 039 51/71 are easily integrated into the switchboard, thanks to their compatibility with the vertical comb and also with the high / high power supply Surge arresters with removable cassettes: Green: arrester in function Red: Cassettes to be replaced Complies with EN / IEC 61643-11 standards"
003973,"Technical characteristics Product characteristics Surge arresters with Integrated Short Circuit Protection Icc 10 kAT2 + T3 - Imax 12 kAUp 1.2 kV, Uc 275V ~ Type 2 characteristic: In 10 kA, Imax 12 kACaract Type 3: Uoc 20 kV Regimes: TT, TNS Number of poles: 3P + N Number of modules: 6 General characteristics Surge protectors Type 2 + Type 3 (T2 + T3) Surge arresters 1P + N and 3P + N are with spark gap technology on the neutral-earth branch, which results in the absence of current leakage to earth: no untimely tripping of differential protections Surge arresters with internal protection thanks to overload and short-circuit currents thanks to a special integrated fuse Ref. 0 039 51/71 are easily integrated into the switchboard, thanks to their compatibility with the vertical comb and also with the high / high power supply Surge arresters with removable cassettes: Green: arrester in function Red: Cassettes to be replaced Complies with EN / IEC 61643-11 standards"
004409,"Technical characteristics Product characteristics Fixing accessories On EN 50022 DIN rail General characteristics Programmable time intervals 72 x 72"
010526,
011248,
024230,"Technical characteristics Product characteristics Button box 2 holes Button box gray cover 1 green pulse button marked &#39;&#39; I &#39;&#39; + NO contact1 red pulse button marked &#39;&#39; 0 &#39;&#39; + NC contact General features Osmoz fitted button boxes - control and signaling auxiliaries IP 66 Button boxes fitted with head and contact block"
030729,
031202,"Technical characteristics Product characteristics Pathway accessories End cap General characteristics DLPlus moldings 20 x 12.5 - profiles, pathway accessories and switchgear mounting"
035611,"Technical characteristics Product characteristics Metal RAL 7035 Equipped with 2 vertical uprights perforated in 25 mm increments (3 uprights for width 800 mm) for fixing rails and solid plates Textured paint RAL 7035 Dim. external in mm Rectangular version Height: 300 mm Dimensions width: 400 mm Depth: 120 mm General characteristics Industrial enclosures Atlantic metal and stainless steel - IP 66 - IK 10IP 66 according to EN / IEC standards 60529IK 10 according to standards EN / IEC 62262 (EN 50102) Reversible housings, 2 fixing methods: direct fixingfixing by stainless steel legs ref. 0 364 07 Captive screws"
042875,"Technical characteristics Product characteristics Safety Primary: 230-400 V ~ - Secondary: 24 - 48 V ~ Power: 310 VA Capacity of the primary flexible cable terminals: 1 to 4 mm Capacity of the central terminals  flexible secondary cable: 1 to 4 mm General characteristics Equipment transformers - single phase IP 2X or xxB without coupling bars up to 450 VA (up to 310 VA in 12-24 V ) - IK 04 Possibility of clipping up to 160 VA with accessories 0 044 16 or 0 428 99 Bi-voltage secondary transformers supplied with coupling bars Transformers up to 450 VA supplied with insulated bar for 0 V connection secondary / ground (except ref. 0 428 46) Complies with standard IEC EN 61558-2-6 for 12 V, 24 V and 48 V and complies with standard IEC EN 61558-2-4 for 115 V and 230 VProducts suitable for making equipment conforming to standards EN 61131-2, EN 60204-1 and EN 61439-1"
044206,"Technical characteristics Product characteristics Control and safety - Automatic connection Primary: 230-400 V  15 V ~ - Secondary: 24 V ~ Power in VA according to IEC and CSA: 400 Power in VA according to UL: 300 Power permissible instantaneous at cos  = 0.5: 850 General characteristics Control and signaling transformers - single-phase - automatic connectionIP 2X or xxB without coupling bars - IK 04Compliant with IEC EN 61558- standards 2-2 and 2-4 or 2-6, UL5085 and CSA C22-2-N  66. UL USA and Canada approvals Products suitable for the realization of equipment in accordance with standards EN 61131-2, EN 60204-1 and EN 61439-1 Active parts protected by coverFiltration of parasitesPossibility of fixing direct on symmetrical rail up to 250 VA Equipped with secondary: 2 ground terminals 2 0 V terminals 1 output terminal"
044211,"Technical characteristics Product characteristics Control and safety Primary: 230-400 V   15 V ~ - Secondary: 24 VA Power in VA according to IEC and CSA: 40 Power in VA according to UL: 40 Instantaneous power admissible at cos  = 0.5: 50 General characteristics Control and signaling transformers - single-phase - connection to screwIP 2x or xxB without coupling bars up to 400 VA - IP xxA beyond 400 VA - IK 04 Complies with standards IEC EN 61558-2-2 and 2-4 or 2-6, UL 5085 and CSA C22-2-N  66 UL USA and Canada approvals Products suitable for the realization of &#39;&#39; Equipment compliant with standards EN 61131-2, EN 60204-1 and EN 61439-1 Active parts protected by cover up to 1000 VAFiltration of parasites (except ref. 0 442 16/17/18) Possibility of direct fixing on symmetrical rail up to 250 VALivrs with strip for connection 0 V secondary / ground up to 1000 VA"
044212,"Technical characteristics Product characteristics Control and safety Primary: 230-400 V   15 V ~ - Secondary: 24 VA Power in VA according to IEC and CSA: 63 Power in VA according to UL: 63 Instantaneous power admissible at cos  = 0.5: 88 General characteristics Control and signaling transformers - single-phase - connection to visIP 2x or xxB without coupling bars up to 400 VA - IP xxA beyond 400 VA - IK 04 Complies with standards IEC EN 61558-2-2 and 2-4 or 2-6, UL 5085 and CSA C22-2-N  66 UL USA and Canada approvals Products suitable for the realization of &#39;&#39; Equipment compliant with standards EN 61131-2, EN 60204-1 and EN 61439-1 Active parts protected by cover up to 1000 VAFiltration of parasites (except ref. 0 442 16/17/18) Possibility of direct fixing on symmetrical rail up to 250 VALivrs with strip for connection 0 V secondary / ground up to 1000 VA"
044213,"Technical characteristics Product characteristics Control and safety Primary: 230-400 V   15 V ~ - Secondary: 24 VA Power in VA according to IEC and CSA: 100 Power in VA according to UL: 100 Instantaneous power admissible at cos  = 0.5: 170 General characteristics Control and signaling transformers - single-phase - connection to screwIP 2x or xxB without coupling bars up to 400 VA - IP xxA beyond 400 VA - IK 04 Complies with standards IEC EN 61558-2-2 and 2-4 or 2-6, UL 5085 and CSA C22-2-N  66 UL USA and Canada approvals Products suitable for the realization of &#39;&#39; Equipment compliant with standards EN 61131-2, EN 60204-1 and EN 61439-1 Active parts protected by cover up to 1000 VAFiltration of parasites (except ref. 0 442 16/17/18) Possibility of direct fixing on symmetrical rail up to 250 VALivrs with strip for connection 0 V secondary / ground up to 1000 VA"
044214,"Technical characteristics Product characteristics Control and safety Primary: 230-400 V   15 V ~ - Secondary: 24 VA Power in VA according to IEC and CSA: 160 Power in VA according to UL: 140 Instantaneous power admissible at cos  = 0.5: 250 General characteristics Control and signaling transformers - single-phase - connection to screwIP 2x or xxB without coupling bars up to 400 VA - IP xxA beyond 400 VA - IK 04 Complies with standards IEC EN 61558-2-2 and 2-4 or 2-6, UL 5085 and CSA C22-2-N  66 UL USA and Canada approvals Products suitable for the realization of &#39;&#39; Equipment compliant with standards EN 61131-2, EN 60204-1 and EN 61439-1 Active parts protected by cover up to 1000 VAFiltration of parasites (except ref. 0 442 16/17/18) Possibility of direct fixing on symmetrical rail up to 250 VALivrs with strip for connection 0 V secondary / ground up to 1000 VA"
044215,"Technical characteristics Product characteristics Control and safety Primary: 230-400 V   15 V ~ - Secondary: 24 VA Power in VA according to IEC and CSA: 250 Power in VA according to UL: 210 Instantaneous power admissible at cos  = 0.5: 420 General characteristics Control and signaling transformers - single-phase - connection to screwIP 2x or xxB without coupling bars up to 400 VA - IP xxA beyond 400 VA - IK 04 Complies with standards IEC EN 61558-2-2 and 2-4 or 2-6, UL 5085 and CSA C22-2-N  66 UL USA and Canada approvals Products suitable for the realization of &#39;&#39; Equipment compliant with standards EN 61131-2, EN 60204-1 and EN 61439-1 Active parts protected by cover up to 1000 VAFiltration of parasites (except ref. 0 442 16/17/18) Possibility of direct fixing on symmetrical rail up to 250 VALivrs with strip for connection 0 V secondary / ground up to 1000 VA"
